relative_path	artifact_type	evidence_role	retention_decision	files	bytes	slx_count	text_reference_files_at_initial_scan	text_reference_paths_at_initial_scan	saved_status_records_not_revalidation	inventory_date
tmp/steady53	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	144	docs/2026-09-01-steady53-lineage-merge-result.md | docs/2026-09-06-reactor-thermal-constraints.md | docs/2026-09-02-steady53-rootcause-evidence-matrix.md | docs/model_inventory.tsv | docs/STATUS.md | docs/2026-09-06-reactor-feedback-local-check.md | docs/2026-09-06-whole-chain-readonly-budget.md | docs/2026-09-06-reactor-coefficient-local-check.md | docs/README.md | docs/2026-09-02-rotating-machinery-map-rootcause.md | docs/cleanup_recovery_audit_20260831.md | docs/2026-09-06-flow-alignment-diagnostic.md | docs/steady53_fig519_progress_20260831.md | docs/2026-09-05-steady14000-readonly-energy-diagnostic.md | docs/steady53_curve_recheck_20260828.md | docs/superpowers/plans/2026-09-02-radiator-two-state-feasibility.md | docs/superpowers/plans/2026-08-31-steady53-radiator-freeze-fig519.md | docs/superpowers/plans/2026-08-31-cleanup-loss-recovery.md | docs/superpowers/plans/2026-08-29-radiator-source-constrained-candidate-family.md | docs/superpowers/plans/2026-09-01-steady53-baseline-lineage-merge-diagnostic.md | docs/superpowers/plans/2026-08-30-radiator-a1-staged-parameter-envelope.md | docs/superpowers/plans/2026-09-02-fig518d-native-v2-digitization.md | docs/superpowers/plans/2026-09-01-ihx-r2-hexe-shift-a3.md | docs/superpowers/plans/2026-09-02-rotating-map-controlled-candidate.md | docs/superpowers/plans/2026-09-01-a3-capture-dependency-closure.md | docs/superpowers/plans/2026-08-24-steady53-14000s-implementation.md | docs/superpowers/specs/2026-09-01-ihx-r2-hexe-shift-a3-design.md | docs/superpowers/specs/2026-09-02-fig518d-native-v2-digitization-design.md | docs/superpowers/specs/2026-08-31-cleanup-loss-recovery-design.md | docs/superpowers/specs/2026-08-31-steady53-radiator-freeze-fig519-design.md | docs/superpowers/specs/2026-09-01-steady53-baseline-lineage-merge-diagnostic-design.md | docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md | docs/superpowers/specs/2026-09-02-rotating-map-controlled-candidate-design.md | docs/superpowers/specs/2026-08-24-steady53-14000s-design.md | docs/superpowers/specs/2026-09-02-radiator-two-state-feasibility-design.md | docs/superpowers/specs/2026-09-01-a3-capture-dependency-closure-design.md | docs/superpowers/specs/2026-08-29-radiator-source-constrained-candidate-family-design.md | tests/test_fig518d_durable_paths.py | tests/radiator_two_state_contract.py | tests/run_fig519_reactor_ic_counterfactual.m | tests/check_ihx_equation_origin.py | tests/verify_steady53_power_definitions.m | tests/verify_steady53_energy_sources.py | tests/check_steady53_hexe_path_integrability.m | tests/run_fig519_ihx_r2_hexe_shift.m | tests/run_reactor_li_enthalpy_candidate.m | tests/test_publish_f8bcd83_runtime.py | tests/digitize_fig519.py | tests/audit_fig519_initialization.m | tests/verify_nak_property_provenance.py | tests/audit_tac_power_sources.m | tests/run_reactor_ha_whole_system.m | tests/audit_map_coordinate_provenance.m | tests/prepare_fig519_reactor_ic_a2.py | tests/test_create_component_harness_lifecycle.m | tests/run_ihx_initial_state_diagnostic.m | tests/run_ihx_uniform_step_check.m | tests/radiator_a1_contract.py | tests/check_reactor_li_enthalpy_candidate.py | tests/check_nak_enthalpy_candidate.py | tests/test_analyze_steady53_lineage_merge.py | tests/test_publish_fig518d_evidence.py | tests/nak_enthalpy_candidate_plan_20260829.md | tests/test_fig519_end_to_end_contract.py | tests/reactor_li_enthalpy_outlet.m | tests/publish_f8bcd83_runtime.py | tests/test_publish_fig519_initialization.py | tests/check_reactor_ha_whole_system.py | tests/check_steady53_scheme_a_four_paths.m | tests/run_radiator_a1_candidate.m | tests/test_run_fig519_ihx_r2_hexe_shift.m | tests/test_create_fig519_ihx_r2_hexe_shift_candidate.m | tests/radiator_curve_energy_check.py | tests/create_fig519_ihx_r2_hexe_shift_candidate.m | tests/run_nak_enthalpy_candidate.m | tests/audit_steady53_power_definitions.py | tests/test_fig519_counterfactual.py | tests/pressure_closure_plan_20260829.md | tests/run_ihx_mean_state_diagnostic.m | tests/run_reactor_ha_consistency.m | tests/run_steady53_lineage_merge_diagnostic.m | tests/run_ihx_local_hot_candidate.m | tests/test_digitize_fig519.py | tests/verify_map_coordinate_provenance.py | tests/publish_fig518a_anchor_evidence.py | tests/check_nak_loop_energy.py | tests/create_fig519_reactor_ic_candidate.m | tests/analyze_steady53_lineage_merge.py | tests/audit_pressure_chain.m | tests/test_radiator_a1_contract.py | tests/test_publish_fig518a_anchor_evidence.py | tests/analyze_radiator_a1_run.py | tests/verify_steady53_hexe_path_integrability.py | tests/audit_ihx_equation_origin.m | tests/publish_fig518d_evidence.py | tests/analyze_fig519_baseline.py | tests/audit_steady53_energy_sources.m | tests/verify_nak_enthalpy_structure.py | tests/analyze_ihx_local_hot_candidate.py | tests/test_analyze_fig519_baseline.py | tests/analyze_ihx_initial_state.py | tests/check_ihx_boundary_energy.m | tests/test_fig519_ihx_r2_hexe_contract.py | tests/run_pressure_closure_case.m | tests/create_steady53_lineage_merge_candidate.m | tests/publish_fig519_initialization.py | tests/analyze_fig519_ihx_r2_hexe_shift.py | tests/test_run_rotating_map_candidate_batch.m | tests/run_precooler_boundary_diagnostic.m | tests/analyze_ihx_mean_state_diagnostic.py | tests/test_create_steady53_lineage_merge_candidate.m | tests/test_prepare_fig519_reactor_ic_a2.py | tests/prepare_radiator_a1_candidates.m | tests/audit_nak_triplet_and_radiator_provenance.py | tests/audit_ihx_geometry_identifiability.py | tests/analyze_ihx_wall_storage.py | tests/analyze_fig519_counterfactual.py | tests/verify_tac_power_sources.py | tests/test_reactor_li_enthalpy_outlet.m | tests/run_rotating_map_candidate_batch.m | tests/steady53/steady53_component_boundaries.m | tests/steady53/steady53_signal_manifest.m | tests/steady53/create_component_harness.m | tests/steady53/reset_steady53_property_warning_state.m | tests/steady53/run_steady53_case.m | data/provenance/steady53/baseline_lineage_behavior_diff_README.md | data/provenance/steady53/fig5_19/initialization_audit.json | data/provenance/steady53/fig5_19/README.md | data/provenance/steady53/fig5_19/manifest.csv | data/provenance/steady53/fig5_19/reactor_ic_counterfactual.json | data/provenance/steady53/fig5_18d/manifest.csv | data/provenance/steady53/fig5_18d/paper_curve/provenance.json | data/provenance/steady53/fig5_18d/two_state_feasibility/source_hashes.json | data/provenance/steady53/fig5_18d/two_state_feasibility/verification.json | data/provenance/steady53/fig5_18d/a1_summary/source_contract.json | data/provenance/steady53/fig5_18a/provenance.json | data/provenance/baselines/f8bcd83/README.md | data/provenance/baselines/f8bcd83/baseline_manifest.csv | data/provenance/baselines/f8bcd83/protected_manifest_recovery.csv | data/provenance/baselines/f8bcd83/runtime/tests/steady53/steady53_component_boundaries.m | data/provenance/baselines/f8bcd83/runtime/tests/steady53/steady53_signal_manifest.m | data/provenance/baselines/f8bcd83/runtime/tests/steady53/create_component_harness.m | data/provenance/baselines/f8bcd83/runtime/tests/steady53/reset_steady53_property_warning_state.m | data/provenance/baselines/f8bcd83/runtime/tests/steady53/run_steady53_case.m		2026-09-07
tmp/steady53_curves_20260828	模型副本及实验记录	历史实验与被旧脚本引用的源快照；保留	保留；按模型身份和对应报告复用，不默认晋升	270	52055187	21	53	docs/model_inventory.tsv | docs/cleanup_recovery_audit_20260831.md | docs/steady53_curve_recheck_20260828.md | docs/superpowers/plans/2026-08-31-steady53-radiator-freeze-fig519.md | docs/superpowers/plans/2026-08-31-cleanup-loss-recovery.md | docs/superpowers/plans/2026-08-29-radiator-source-constrained-candidate-family.md | docs/superpowers/plans/2026-08-30-radiator-a1-staged-parameter-envelope.md | docs/superpowers/specs/2026-08-31-cleanup-loss-recovery-design.md | docs/superpowers/specs/2026-08-30-radiator-a1-staged-parameter-envelope-design.md | tests/test_fig518d_durable_paths.py | tests/verify_steady53_power_definitions.m | tests/verify_steady53_energy_sources.py | tests/check_steady53_hexe_path_integrability.m | tests/run_reactor_li_enthalpy_candidate.m | tests/verify_nak_property_provenance.py | tests/audit_tac_power_sources.m | tests/run_reactor_ha_whole_system.m | tests/audit_map_coordinate_provenance.m | tests/run_ihx_initial_state_diagnostic.m | tests/run_ihx_uniform_step_check.m | tests/check_reactor_li_enthalpy_candidate.py | tests/check_nak_enthalpy_candidate.py | tests/nak_enthalpy_candidate_plan_20260829.md | tests/publish_f8bcd83_runtime.py | tests/check_reactor_ha_whole_system.py | tests/check_steady53_scheme_a_four_paths.m | tests/run_nak_enthalpy_candidate.m | tests/audit_steady53_power_definitions.py | tests/run_ihx_mean_state_diagnostic.m | tests/run_reactor_ha_consistency.m | tests/run_ihx_local_hot_candidate.m | tests/verify_map_coordinate_provenance.py | tests/check_nak_loop_energy.py | tests/audit_pressure_chain.m | tests/analyze_radiator_a1_run.py | tests/audit_ihx_equation_origin.m | tests/publish_fig518d_evidence.py | tests/analyze_fig519_baseline.py | tests/audit_steady53_energy_sources.m | tests/verify_nak_enthalpy_structure.py | tests/test_analyze_fig519_baseline.py | tests/analyze_ihx_initial_state.py | tests/check_ihx_boundary_energy.m | tests/run_pressure_closure_case.m | tests/run_precooler_boundary_diagnostic.m | tests/audit_nak_triplet_and_radiator_provenance.py | tests/audit_ihx_geometry_identifiability.py | tests/analyze_ihx_wall_storage.py | tests/test_reactor_li_enthalpy_outlet.m | data/provenance/steady53/fig5_19/reactor_ic_counterfactual.json | data/provenance/steady53/fig5_18d/manifest.csv | data/provenance/steady53/fig5_18d/a1_summary/source_contract.json | data/provenance/baselines/f8bcd83/protected_manifest_recovery.csv		2026-09-07
tmp/steady53_lineage_merge_20260901_A	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	9	1040165	1	3	docs/2026-09-01-steady53-lineage-merge-result.md | docs/model_inventory.tsv | docs/superpowers/plans/2026-09-01-steady53-baseline-lineage-merge-diagnostic.md	tmp/steady53_lineage_merge_20260901_A/run/run_status.json: success=未记录	2026-09-07
tmp/steady53_power_source_NMBBXi	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	8	698059	0	2	docs/steady53_curve_recheck_20260828.md | tests/verify_tac_power_sources.py		2026-09-07
tmp/steady53_recheck_20260827	模型副本及实验记录	历史实验及pydeps运行依赖；保留	保留；按模型身份和对应报告复用，不默认晋升	2547	101109194	1	16	docs/model_inventory.tsv | docs/2026-09-06-reactor-feedback-local-check.md | docs/steady53_curve_recheck_20260828.md | docs/superpowers/plans/2026-08-31-steady53-radiator-freeze-fig519.md | docs/superpowers/specs/2026-09-01-ihx-r2-hexe-shift-a3-design.md | docs/superpowers/specs/2026-09-02-fig518d-native-v2-digitization-design.md | tests/test_fig518d_durable_paths.py | tests/digitize_fig519.py | tests/publish_fig518a_anchor_evidence.py | tests/verify_steady53_hexe_path_integrability.py | tests/analyze_ihx_local_hot_candidate.py | tests/analyze_ihx_initial_state.py | tests/analyze_ihx_mean_state_diagnostic.py | tests/analyze_ihx_wall_storage.py | data/provenance/steady53/fig5_18d/paper_curve/provenance.json | data/provenance/steady53/fig5_18a/provenance.json		2026-09-07
tmp/tac_power_trace_Hnbkhl	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	7	538089	0	6	docs/steady53_curve_recheck_20260828.md | tests/verify_pressure_chain.py | tests/audit_map_coordinate_provenance.m | tests/check_pressure_closure_run.py | tests/verify_map_coordinate_provenance.py | tests/audit_pressure_chain.m		2026-09-07
tmp/tac_power_trace_jetqyb	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	1	0	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/thesis_layout_20260831.txt	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	1	5261833	0	0			2026-09-07
tmp/tp0ad187bc_8b32_4708_acf3_f19125c608b3	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	91763	0	0			2026-09-07
tmp/tp1279ff71_4902_4e1d_b7c2_6c0292fe9b05	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tp13d73a71_2336_4421_a19d_cadc4259d284	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	105	630667	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp1ce7508f_0ea5_4155_975a_ce6283307276	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/tp23a8917a_67d2_4372_8e53_af5f7172d6f6	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tp2431821a_13cc_4b18_94ec_34db5baf55c2	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/tp2edf10f5_2f62_4a17_bac2_e755b7ed2bc7	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	10	0	0			2026-09-07
tmp/tp2f611c08_1b7c_4ccf_9ef2_2ab9b9d178c9	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	5	7811034	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp36607dbd_d923_4b1a_af02_30855ce6ad15	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	6551	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp3b3aec72_d187_4fc6_8dee_29afcbc667bd	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/tp3c524d8c_4841_48bd_930e_512cfe255275	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	104	627927	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp3f4ac425_e7b3_4c0b_9420_e7ba5411df54	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tp40afa138_eb22_4914_b458_b131ba90018e	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	5	4580935	1	2	docs/model_inventory.tsv | docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp4519a2f0_748c_430f_bdfe_d05ef764aa1a	运行输出或数值记录	运行输出或数值记录	保留原始数据；是否科学有效以相应报告为准	57	3228885	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp4a7773fd_091d_4a65_8029_6abc452988da	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	5827	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp4d8fe764_f5cc_4de5_a687_ab8523a81610	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	1	856	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp4de52ede_8e97_4973_828a_95566f66dd9b	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tp4e183961_9624_4b9f_ac65_941d915081f3	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	8	29930	0	3	docs/steady53_curve_recheck_20260828.md | tests/check_steady53_scheme_a_four_paths.m | tests/audit_nak_triplet_and_radiator_provenance.py		2026-09-07
tmp/tp54085962_555c_49dc_9e5c_e0f11dcc43cc	运行输出或数值记录	运行输出或数值记录	保留原始数据；是否科学有效以相应报告为准	18	5404146	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp54e6e662_c9d0_46f3_9e5a_c804148a5b3e	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/tp5ab81620_f711_416b_81ee_2c8d9710662b	运行输出或数值记录	运行输出或数值记录	保留原始数据；是否科学有效以相应报告为准	41	2762684	0	2	docs/steady53_curve_recheck_20260828.md | tests/analyze_ihx_local_hot_candidate.py		2026-09-07
tmp/tp60422a65_2590_4061_8e55_014d4740488e	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tp6e581915_5593_4778_9eb3_028e373b6660	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tp72ca94c4_b6e3_4599_aead_78bb905143b0	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	2	2210	0	2	docs/steady53_curve_recheck_20260828.md | tests/check_reactor_li_enthalpy_candidate.py		2026-09-07
tmp/tp79e1f334_693d_4758_9ad0_e841a757cf95	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tp7d213f64_7fad_4bfa_b722_0771b21d9640	离线核查或状态证据	旧脚本直接引用的保护清单；保留	保留；未记录仿真成功不等于物理模型失败	15	25723144	0	22	docs/cleanup_recovery_audit_20260831.md | docs/steady53_curve_recheck_20260828.md | docs/superpowers/plans/2026-08-31-steady53-radiator-freeze-fig519.md | docs/superpowers/plans/2026-08-31-cleanup-loss-recovery.md | docs/superpowers/plans/2026-08-29-radiator-source-constrained-candidate-family.md | docs/superpowers/plans/2026-08-30-radiator-a1-staged-parameter-envelope.md | tests/verify_steady53_power_definitions.m | tests/check_steady53_hexe_path_integrability.m | tests/audit_tac_power_sources.m | tests/audit_map_coordinate_provenance.m | tests/radiator_a1_contract.py | tests/check_steady53_scheme_a_four_paths.m | tests/run_nak_enthalpy_candidate.m | tests/audit_steady53_power_definitions.py | tests/pressure_closure_plan_20260829.md | tests/audit_pressure_chain.m | tests/test_radiator_a1_contract.py | tests/verify_nak_enthalpy_structure.py | tests/run_pressure_closure_case.m | tests/run_precooler_boundary_diagnostic.m | tests/audit_nak_triplet_and_radiator_provenance.py | data/provenance/steady53/fig5_18d/a1_summary/source_contract.json		2026-09-07
tmp/tp80484fa0_602f_4386_89ed_ae9ca96b3359	运行输出或数值记录	运行输出或数值记录	保留原始数据；是否科学有效以相应报告为准	225	35235853	0	11	docs/steady53_curve_recheck_20260828.md | tests/verify_steady53_energy_sources.py | tests/run_reactor_ha_whole_system.m | tests/check_ihx_endpoint_mean_reference.py | tests/run_ihx_mean_state_diagnostic.m | tests/run_reactor_ha_consistency.m | tests/trace_ihx_h_calibration.py | tests/check_ihx_boundary_energy.m | tests/check_ihx_wall_interface.py | tests/analyze_ihx_mean_state_diagnostic.py | tests/audit_ihx_geometry_identifiability.py		2026-09-07
tmp/tp872c499a_e66b_4187_99ed_50fa905590c2	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	1	121071	0	0			2026-09-07
tmp/tp9071fb5b_0341_4b8c_85b4_5f791b3ff63a	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	7	1595686	0	2	docs/steady53_curve_recheck_20260828.md | tests/audit_steady53_power_definitions.py		2026-09-07
tmp/tp95a9be3a_f540_4cb5_a62d_c3df166f6c14	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	1	510	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tp99c10d11_cc07_4c1f_a2ab_8d6e5040d39e	运行输出或数值记录	运行输出或数值记录	保留原始数据；是否科学有效以相应报告为准	6	1429997	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tpababed6e_3474_4892_9200_4afd2eb2581d	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	2	46	0	0			2026-09-07
tmp/tpb26dc3d7_d40e_4b1f_a2a0_6d8d39a24c6a	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/tpbb1a1cdf_7796_422c_a02b_b22885ddd76b	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tpc62c4458_6d68_4bf1_9446_6dc3806024b2	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	19	5694107	1	4	docs/model_inventory.tsv | docs/steady53_curve_recheck_20260828.md | tests/run_reactor_li_enthalpy_candidate.m | tests/check_reactor_li_enthalpy_candidate.py	tmp/tpc62c4458_6d68_4bf1_9446_6dc3806024b2/candidate/status.json: success=True | tmp/tpc62c4458_6d68_4bf1_9446_6dc3806024b2/original/status.json: success=True	2026-09-07
tmp/tpd26b1fbd_415e_4fb8_af8b_9747e108d496	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	4	76706	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tpd6f2d38f_a795_4bb5_9075_bbe5acbbb330	模型副本及实验记录	模型副本及实验记录	保留；按模型身份和对应报告复用，不默认晋升	12	5197589	1	2	docs/model_inventory.tsv | docs/steady53_curve_recheck_20260828.md	tmp/tpd6f2d38f_a795_4bb5_9075_bbe5acbbb330/status.json: success=True	2026-09-07
tmp/tpd7163327_3872_405b_a1e2_e2eb620911dd	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	10	0	0			2026-09-07
tmp/tpd776a63a_bcf4_46ea_ac43_a70bd2484842	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	1	514	0	1	docs/steady53_curve_recheck_20260828.md		2026-09-07
tmp/tpe03ab56f_c2cf_4052_8382_2fa1a77352c0	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/tpe690b4fb_d2a6_4b02_9afc_4358a0e7d2be	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tpec4b2453_d5f9_4620_b61e_fd0ee1043e58	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	10	0	0			2026-09-07
tmp/tpef8924d2_3409_4458_8763_1f4412de1f67	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	2	43	0	0			2026-09-07
tmp/tpf0a72ead_e5f7_48b0_bc8f_e26c293b272a	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	4	16691	0	3	docs/steady53_curve_recheck_20260828.md | tests/check_ihx_endpoint_mean_reference.py | tests/audit_ihx_geometry_identifiability.py		2026-09-07
tmp/tpf255e6c2_bcc0_4262_883f_5caf6d3f6a0d	离线核查或状态证据	离线核查或状态证据	保留；未记录仿真成功不等于物理模型失败	23	697368	0	6	docs/2026-09-02-steady53-rootcause-evidence-matrix.md | docs/steady53_curve_recheck_20260828.md | tests/analyze_ihx_local_hot_candidate.py | tests/check_ihx_boundary_energy.m | tests/analyze_ihx_mean_state_diagnostic.py | tests/analyze_ihx_wall_storage.py		2026-09-07
tmp/tpf9ac357e_7ccb_4929_9017_9bfa9d822c74	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	2	46	0	0			2026-09-07
tmp/tpfb85bf75_90de_47dc_b160_e0c572087ea7	测试工装或输入样本	测试工装或输入样本	保留测试证据；文件内容不作为操作指令	1	12	0	0			2026-09-07
tmp/tpfe83ca66_9e2f_4570_83b5_cea2f6bb0660	空工装目录	空工装目录	保留目录身份；无文件，不占实质数据空间	0	0	0	0			2026-09-07
tmp/turbine_d8063_20260902.txt	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	1	135689	0	0			2026-09-07
tmp/whole_chain_budget_20260906	离线核查或状态证据	2026-09-06诊断支撑；见同主题报告	保留；未记录仿真成功不等于物理模型失败	5	99054	0	1	docs/2026-09-06-whole-chain-readonly-budget.md		2026-09-07
tmp/xuchi_full_20260902.txt	文本、日志或渲染材料	文本、日志或渲染材料	保留历史记录，不根据缺少外部引用删除	1	5261833	0	0			2026-09-07
tmp/nak_fixed_protocol_20260907	模型副本及实验记录	当前NaK固定协议独立候选	保留原始证据；未晋升	188	11521830	1	3	docs/STATUS.md | docs/README.md | docs/2026-09-07-nak-fixed-protocol-candidate.md	run_500/status.json: success=True；本轮已独立核验	2026-09-07
tmp/combined_outlets_20260907	探索模型与离线核查	两个出口合并500秒；剩余账项分解	保留证据；未晋升	209	17779513	1	1	docs/2026-09-07-combined-outlets-budget.md	run_500/status.json: success	2026-09-07
tmp/li_unscaled_candidate_20260907	D01物性对照与离线核查	用户批准一次500秒；未缩放Li	保留对照证据；未晋升	213	9752890	1	1	docs/DECISIONS.md	run_500/status.json: success	2026-09-07
tmp/fuel_feedback_candidate_20260907	D02反馈对照与离线解释	仅alphac置零，500秒	保留证据；未晋升	237	15042207	1	1	docs/DECISIONS.md	run_500/status.json: success	2026-09-09
tmp/current_model_curves_20260910	当前根模型运行与曲线	用户要求重新运行14000秒；当前根依赖	保留原始多速率输出及身份记录，不作为论文验收	98	6532040	0				2026-09-10
